time,date,code,open,high,low,close,volume,amount,adjustflag,RSI_Divergence,BB_Zvalue,Williams_%R,Volume_Average,ROC
2022-03-01 10:00:00,2022-03-01,sz.300271,11.34,11.45,11.31,11.41,3909000.0,44512396.0,3.0,,,,,
2022-03-01 10:30:00,2022-03-01,sz.300271,11.41,11.45,11.34,11.36,2317400.0,26389143.0,3.0,,,,,
2022-03-01 11:00:00,2022-03-01,sz.300271,11.36,11.44,11.34,11.41,1922791.0,21884645.0,3.0,,,,,-0.4382120946538187
2022-03-01 11:30:00,2022-03-01,sz.300271,11.41,11.43,11.35,11.35,1421909.0,16202488.0,3.0,,,,,0.4401408450704288
2022-03-01 13:30:00,2022-03-01,sz.300271,11.35,11.4,11.32,11.34,1145700.0,12997275.0,3.0,,,,,-0.5258545135845792
2022-03-01 14:00:00,2022-03-01,sz.300271,11.33,11.37,11.33,11.34,860500.0,9764680.0,3.0,,,,,-0.08810572687224483
2022-03-01 14:30:00,2022-03-01,sz.300271,11.34,11.39,11.31,11.38,1388200.0,15754991.0,3.0,,,,,0.0
2022-03-01 15:00:00,2022-03-01,sz.300271,11.38,11.39,11.35,11.38,2379241.0,27042298.0,3.0,,,,,0.35273368606702754
2022-03-02 10:00:00,2022-03-02,sz.300271,11.26,11.38,11.22,11.34,2944956.0,33336670.0,3.0,,,,,0.0
2022-03-02 10:30:00,2022-03-02,sz.300271,11.35,11.42,11.34,11.39,2843920.0,32395316.0,3.0,,,,,-0.35149384885765306
2022-03-02 11:00:00,2022-03-02,sz.300271,11.4,11.42,11.34,11.35,1849693.0,21062175.0,3.0,,,,,0.44091710758378055
2022-03-02 11:30:00,2022-03-02,sz.300271,11.36,11.36,11.31,11.31,898600.0,10186397.0,3.0,,,,,-0.35118525021949887
2022-03-02 13:30:00,2022-03-02,sz.300271,11.32,11.36,11.31,11.34,1046500.0,11862578.0,3.0,,,,,-0.3524229074889793
2022-03-02 14:00:00,2022-03-02,sz.300271,11.34,11.4,11.34,11.38,1102958.0,12534830.0,3.0,,,,,0.2652519893899148
2022-03-02 14:30:00,2022-03-02,sz.300271,11.38,11.41,11.37,11.39,1618540.0,18431295.0,3.0,,,-30.434782608695183,,0.35273368606702754
2022-03-02 15:00:00,2022-03-02,sz.300271,11.4,11.41,11.37,11.38,1878987.0,21394011.0,3.0,,,-26.08695652173873,,0.08787346221440936
2022-03-03 10:00:00,2022-03-03,sz.300271,11.38,11.46,11.31,11.35,3601900.0,40938798.0,3.0,,,-27.272727272726833,,-0.08779631255487082
2022-03-03 10:30:00,2022-03-03,sz.300271,11.35,11.36,11.29,11.3,3132300.0,35455781.0,3.0,,,-45.8333333333338,,-0.2636203866432437
2022-03-03 11:00:00,2022-03-03,sz.300271,11.3,11.39,11.29,11.37,1497300.0,16967724.0,3.0,,,-66.66666666666666,,-0.4405286343612241
2022-03-03 11:30:00,2022-03-03,sz.300271,11.37,11.37,11.32,11.32,726541.0,8242615.0,3.0,,,-37.50000000000065,,0.6194690265486593
2022-03-03 13:30:00,2022-03-03,sz.300271,11.33,11.33,11.3,11.31,1402300.0,15860342.0,3.0,,-1.279954708717919,-58.33333333333351,1924346.8,-0.43975373790676286
2022-03-03 14:00:00,2022-03-03,sz.300271,11.31,11.32,11.27,11.32,1627000.0,18372389.0,3.0,,-1.4664924723562403,-62.500000000000085,1799011.8,-0.0883392226148391
2022-03-03 14:30:00,2022-03-03,sz.300271,11.31,11.34,11.3,11.3,866600.0,9804385.0,3.0,,-1.039431203811105,-58.33333333333351,1764491.8,0.08841732979663824
2022-03-03 15:00:00,2022-03-03,sz.300271,11.3,11.35,11.3,11.33,1816500.0,20561993.0,3.0,,-1.5522103790561388,-84.21052631578898,1711682.25,-0.1766784452296782
2022-03-04 10:00:00,2022-03-04,sz.300271,11.26,11.31,11.18,11.21,4819584.0,54093979.0,3.0,,-0.5245122707544239,-68.42105263157889,1731411.8,0.2654867256637111
2022-03-04 10:30:00,2022-03-04,sz.300271,11.21,11.26,11.19,11.24,1461804.0,16401574.0,3.0,,-3.0046229196625447,-89.28571428571392,1915106.0,-1.0591350397175572
2022-03-04 11:00:00,2022-03-04,sz.300271,11.23,11.25,11.2,11.21,1532395.0,17184645.0,3.0,,-1.9484045638824208,-78.57142857142848,1945171.2,0.2676181980374608
