time,date,code,open,high,low,close,volume,amount,adjustflag,RSI_Divergence,BB_Zvalue,Williams_%R,Volume_Average,ROC
2022-03-01 10:00:00,2022-03-01,sz.002268,45.65,46.6,44.83,46.09,5106415.0,234360486.0,3.0,,,,,
2022-03-01 10:30:00,2022-03-01,sz.002268,46.09,46.09,45.5,45.57,1815210.0,83165546.0,3.0,,,,,
2022-03-01 11:00:00,2022-03-01,sz.002268,45.55,45.99,45.51,45.67,789180.0,36076928.0,3.0,,,,,-1.1282273812106816
2022-03-01 11:30:00,2022-03-01,sz.002268,45.67,45.7,45.44,45.45,645635.0,29424816.0,3.0,,,,,0.2194426157559829
2022-03-01 13:30:00,2022-03-01,sz.002268,45.43,45.48,45.09,45.19,835200.0,37809808.0,3.0,,,,,-0.4817166630172955
2022-03-01 14:00:00,2022-03-01,sz.002268,45.23,45.49,44.99,45.22,909573.0,41086528.0,3.0,,,,,-0.5720572057205833
2022-03-01 14:30:00,2022-03-01,sz.002268,45.22,45.83,45.13,45.82,1071500.0,48741776.0,3.0,,,,,0.0663863686656365
2022-03-01 15:00:00,2022-03-01,sz.002268,45.81,46.79,45.72,46.79,5340510.0,247713584.0,3.0,,,,,1.3268465280849213
2022-03-02 10:00:00,2022-03-02,sz.002268,46.9,47.28,45.9,46.72,4943967.0,230540996.0,3.0,,,,,2.1169794849410715
2022-03-02 10:30:00,2022-03-02,sz.002268,46.7,47.04,46.45,46.55,1302623.0,60879308.0,3.0,,,,,-0.14960461637102004
2022-03-02 11:00:00,2022-03-02,sz.002268,46.57,46.88,46.45,46.7,790810.0,36867296.0,3.0,,,,,-0.3638698630137023
2022-03-02 11:30:00,2022-03-02,sz.002268,46.75,46.75,46.31,46.38,559100.0,25945584.0,3.0,,,,,0.3222341568206352
2022-03-02 13:30:00,2022-03-02,sz.002268,46.37,47.1,46.3,46.92,1209673.0,56545328.0,3.0,,,,,-0.6852248394004289
2022-03-02 14:00:00,2022-03-02,sz.002268,46.92,47.02,46.66,46.84,934952.0,43783680.0,3.0,,,,,1.164294954721861
2022-03-02 14:30:00,2022-03-02,sz.002268,46.88,47.25,46.77,46.96,1283400.0,60352112.0,3.0,,,-17.959183673469273,,-0.1705029838022129
2022-03-02 15:00:00,2022-03-02,sz.002268,46.99,47.08,46.8,46.8,1511859.0,70886032.0,3.0,,,-13.973799126637573,,0.2561912894961516
2022-03-03 10:00:00,2022-03-03,sz.002268,46.81,46.9,44.95,45.47,4705508.0,215035561.0,3.0,,,-20.960698689956516,,-0.34071550255537414
2022-03-03 10:30:00,2022-03-03,sz.002268,45.48,45.65,45.18,45.22,949406.0,43164876.0,3.0,,,-77.68240343347655,,-2.8418803418803384
2022-03-03 11:00:00,2022-03-03,sz.002268,45.21,45.6,45.14,45.51,769915.0,34882875.0,3.0,,,-88.41201716738215,,-0.5498130635583902
2022-03-03 11:30:00,2022-03-03,sz.002268,45.51,45.6,45.24,45.26,516300.0,23440064.0,3.0,,,-75.96566523605169,,0.6413091552410419
2022-03-03 13:30:00,2022-03-03,sz.002268,45.25,45.3,45.0,45.09,1291716.0,58263248.0,3.0,,-1.1765678073230537,-86.69527896995729,1799536.8,-0.5493298176225005
2022-03-03 14:00:00,2022-03-03,sz.002268,45.1,45.1,44.62,45.02,1511715.0,67878640.0,3.0,,-1.289999861963038,-93.99141630901285,1608801.85,-0.3756076005302576
2022-03-03 14:30:00,2022-03-03,sz.002268,45.05,45.23,44.8,44.81,851167.0,38242832.0,3.0,,-1.2988466351284247,-84.9624060150374,1593627.1,-0.15524506542470676
2022-03-03 15:00:00,2022-03-03,sz.002268,44.81,44.81,44.48,44.51,2047301.0,91274400.0,3.0,,-1.4415659184933731,-92.77566539923937,1596726.45,-0.4664593513993799
2022-03-04 10:00:00,2022-03-04,sz.002268,44.23,45.3,43.88,45.22,5125084.0,228917727.0,3.0,,-1.6454278686391055,-98.91696750902523,1666809.75,-0.6694934166480792
2022-03-04 10:30:00,2022-03-04,sz.002268,45.2,45.76,44.88,45.44,2247060.0,101950097.0,3.0,,-0.801277437499422,-60.23738872403569,1881303.95,1.5951471579420375
2022-03-04 11:00:00,2022-03-04,sz.002268,45.44,45.65,45.2,45.2,860840.0,39082320.0,3.0,,-0.5567486247428619,-53.70919881305649,1948178.3,0.4865103936311342
2022-03-04 11:30:00,2022-03-04,sz.002268,45.21,45.4,44.78,44.87,887700.0,40001968.0,3.0,-0.3047247177309542,-0.7948157027020213,-60.83086053412459,1937645.3,-0.5281690140844958
2022-03-04 13:30:00,2022-03-04,sz.002268,44.78,44.97,44.55,44.77,1292385.0,57778624.0,3.0,-0.3076852369110829,-1.0733447558944489,-70.6231454005936,1715004.8,-0.7300884955752331
2022-03-04 14:00:00,2022-03-04,sz.002268,44.82,45.18,44.65,44.74,980800.0,43984272.0,3.0,-0.327575981592463,-1.0793183984688899,-72.18749999999994,1532425.7,-0.22286605749943017
2022-03-04 14:30:00,2022-03-04,sz.002268,44.74,44.9,44.57,44.6,972400.0,43455168.0,3.0,-0.25503447300544513,-1.009129520638578,-71.52317880794699,1516334.55,-0.06700915791825136
2022-03-04 15:00:00,2022-03-04,sz.002268,44.61,44.69,44.45,44.59,1439411.0,64145760.0,3.0,0.03545326350764059,-1.0705406710967915,-61.70212765957444,1525414.05,-0.3129190880643732
2022-03-07 10:00:00,2022-03-07,sz.002268,44.58,44.58,43.0,43.43,2606774.0,113895565.0,3.0,0.1345764024811817,-0.9805880453409263,-62.23404255319135,1569429.6,-0.022421524663672667
2022-03-07 10:30:00,2022-03-07,sz.002268,43.45,43.96,43.39,43.95,1006500.0,43983365.0,3.0,-0.28288647126902733,-2.1115979759165264,-84.42028985507247,1639284.65,-2.601480152500569
2022-03-07 11:00:00,2022-03-07,sz.002268,43.95,44.23,43.65,43.8,880310.0,38708163.0,3.0,0.08385541644001192,-1.4030797740998144,-65.5797101449274,1642862.05,1.1973290352291115
2022-03-07 11:30:00,2022-03-07,sz.002268,43.8,44.1,43.75,43.96,451000.0,19811617.0,3.0,0.10871439690489215,-1.5579316005065977,-71.01449275362327,1622707.55,-0.34129692832765796
2022-03-07 13:30:00,2022-03-07,sz.002268,43.96,44.12,43.81,44.0,581800.0,25572840.0,3.0,0.1784460737913315,-1.3703501514115717,-65.21739130434777,1569664.6,0.36529680365297645
2022-03-07 14:00:00,2022-03-07,sz.002268,44.0,44.0,43.27,43.38,1327900.0,57834434.0,3.0,0.2211128693049341,-1.1787166840324106,-63.768115942028956,1363479.2,0.09099181073703173
2022-03-07 14:30:00,2022-03-07,sz.002268,43.39,43.79,43.39,43.68,873500.0,38077424.0,3.0,0.10575268030530026,-1.892630388162753,-86.23188405797092,1382403.9,-1.4090909090909032
2022-03-07 15:00:00,2022-03-07,sz.002268,43.68,43.85,43.38,43.7,1178836.0,51375872.0,3.0,-0.0769415125480431,-1.2989201920993982,-75.3623188405797,1387583.15,0.691562932226826
2022-03-08 10:00:00,2022-03-08,sz.002268,43.68,44.29,43.05,43.15,2172824.0,94528018.0,3.0,-0.16241780347246526,-1.1473368684059184,-73.58490566037725,1420709.95,0.045787545787552945
2022-03-08 10:30:00,2022-03-08,sz.002268,43.17,43.43,42.5,42.57,1568800.0,67333286.0,3.0,-0.21620508973825162,-1.7395150852031436,-93.75000000000006,1464765.35,-1.2585812356979502
2022-03-08 11:00:00,2022-03-08,sz.002268,42.57,42.9,42.0,42.23,1419290.0,60244930.0,3.0,-0.25251175212756566,-2.139299775862552,-97.38805970149252,1467619.6,-1.3441483198145965
