time,date,code,open,high,low,close,volume,amount,adjustflag,RSI_Divergence,BB_Zvalue,Williams_%R,Volume_Average,ROC
2022-03-01 10:00:00,2022-03-01,sz.000402,5.63,5.67,5.62,5.64,2413600.0,13638705.0,3.0,,,,,
2022-03-01 10:30:00,2022-03-01,sz.000402,5.64,5.67,5.63,5.65,2132200.0,12033382.0,3.0,,,,,
2022-03-01 11:00:00,2022-03-01,sz.000402,5.65,5.67,5.64,5.65,947100.0,5357718.0,3.0,,,,,0.1773049645390191
2022-03-01 11:30:00,2022-03-01,sz.000402,5.65,5.67,5.65,5.65,561000.0,3172071.0,3.0,,,,,0.0
2022-03-01 13:30:00,2022-03-01,sz.000402,5.65,5.67,5.64,5.65,1252649.0,7086254.0,3.0,,,,,0.0
2022-03-01 14:00:00,2022-03-01,sz.000402,5.65,5.66,5.64,5.65,755800.0,4273437.0,3.0,,,,,0.0
2022-03-01 14:30:00,2022-03-01,sz.000402,5.65,5.67,5.65,5.67,742700.0,4205320.0,3.0,,,,,0.0
2022-03-01 15:00:00,2022-03-01,sz.000402,5.67,5.69,5.66,5.67,1893600.0,10746426.0,3.0,,,,,0.3539823008849482
2022-03-02 10:00:00,2022-03-02,sz.000402,5.66,5.74,5.65,5.71,3738628.0,21354446.0,3.0,,,,,0.0
2022-03-02 10:30:00,2022-03-02,sz.000402,5.72,5.72,5.7,5.71,892684.0,5096065.0,3.0,,,,,0.7054673721340394
2022-03-02 11:00:00,2022-03-02,sz.000402,5.71,5.72,5.69,5.71,1334362.0,7609084.0,3.0,,,,,0.0
2022-03-02 11:30:00,2022-03-02,sz.000402,5.71,5.71,5.68,5.71,912900.0,5200013.0,3.0,,,,,0.0
2022-03-02 13:30:00,2022-03-02,sz.000402,5.71,5.72,5.69,5.7,580100.0,3312527.0,3.0,,,,,0.0
2022-03-02 14:00:00,2022-03-02,sz.000402,5.7,5.72,5.7,5.72,386000.0,2205267.0,3.0,,,,,-0.17513134851137982
2022-03-02 14:30:00,2022-03-02,sz.000402,5.72,5.73,5.71,5.73,712400.0,4074641.0,3.0,,,-16.666666666667037,,0.3508771929824486
2022-03-02 15:00:00,2022-03-02,sz.000402,5.73,5.73,5.71,5.72,1522625.0,8711711.0,3.0,,,-9.09090909090887,,0.17482517482518664
2022-03-03 10:00:00,2022-03-03,sz.000402,5.76,5.83,5.74,5.8,7905430.0,45847138.0,3.0,,,-20.000000000000355,,-0.1745200698080397
2022-03-03 10:30:00,2022-03-03,sz.000402,5.8,5.81,5.76,5.78,1602922.0,9268700.0,3.0,,,-15.789473684210625,,1.3986013986014
2022-03-03 11:00:00,2022-03-03,sz.000402,5.78,5.79,5.76,5.78,1256778.0,7258907.0,3.0,,,-26.315789473684063,,-0.3448275862068892
2022-03-03 11:30:00,2022-03-03,sz.000402,5.78,5.81,5.78,5.79,1734300.0,10053649.0,3.0,,,-26.315789473684063,,0.0
2022-03-03 13:30:00,2022-03-03,sz.000402,5.79,5.83,5.79,5.82,3707800.0,21584088.0,3.0,,1.6585124153960709,-22.22222222222228,1663888.9,0.17301038062283366
2022-03-03 14:00:00,2022-03-03,sz.000402,5.82,5.83,5.8,5.83,1993800.0,11598579.0,3.0,,1.926666710374964,-5.555555555555445,1728598.9,0.518134715025911
2022-03-03 14:30:00,2022-03-03,sz.000402,5.82,5.86,5.82,5.84,3274590.0,19126594.0,3.0,,1.8242970896110433,-0.0,1721678.9,0.17182130584192074
2022-03-03 15:00:00,2022-03-03,sz.000402,5.84,5.85,5.82,5.83,2088400.0,12187622.0,3.0,,1.7457161145143816,-11.11111111111133,1838053.4,0.17152658662092257
2022-03-04 10:00:00,2022-03-04,sz.000402,5.82,5.82,5.74,5.75,5229724.0,30146972.0,3.0,,1.426295932305024,-16.66666666666675,1914423.4,-0.17123287671232512
2022-03-04 10:30:00,2022-03-04,sz.000402,5.75,5.78,5.74,5.75,1645300.0,9469102.0,3.0,,0.068241210020756,-61.111111111111086,2113277.15,-1.3722126929674112
2022-03-04 11:00:00,2022-03-04,sz.000402,5.75,5.79,5.75,5.79,1279900.0,7383944.0,3.0,,-0.018489174837771773,-64.70588235294139,2157752.15,0.0
2022-03-04 11:30:00,2022-03-04,sz.000402,5.78,5.8,5.75,5.76,699782.0,4040562.0,3.0,-0.18791269925619217,0.6444494817160926,-43.75000000000014,2184612.15,0.6956521739130441
2022-03-04 13:30:00,2022-03-04,sz.000402,5.76,5.76,5.73,5.74,1208097.0,6939796.0,3.0,-0.26397476010799004,-0.03195908864893336,-66.66666666666686,2124921.25,-0.518134715025911
2022-03-04 14:00:00,2022-03-04,sz.000402,5.74,5.76,5.73,5.76,1006307.0,5783195.0,3.0,-0.29650578115940707,-0.5036715274580424,-79.99999999999989,1998394.7,-0.3472222222222148
2022-03-04 14:30:00,2022-03-04,sz.000402,5.75,5.78,5.74,5.77,918499.0,5287985.0,3.0,-0.2200382842107178,-0.12515149560606334,-76.92307692307739,2004075.85,0.34843205574912145
2022-03-04 15:00:00,2022-03-04,sz.000402,5.77,5.78,5.75,5.77,1960556.0,11299926.0,3.0,-0.3411540871665511,0.03574683061429776,-69.23076923076987,1983282.7,0.1736111111111074
